#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.215000000000000E+01  0.212153827718203E+00  0.140151748427140E-01  0.469307986245700E+01  0.310031336839800E+00
     0.216000000000000E+01  0.211965542560982E+00  0.140930891167582E-01  0.469698441163689E+01  0.312291418187362E+00
     0.217000000000000E+01  0.211776127180058E+00  0.141712934692104E-01  0.470091776455848E+01  0.314568436505320E+00
     0.218000000000000E+01  0.211585579460779E+00  0.142497830356713E-01  0.470488008533793E+01  0.316862427939442E+00
     0.219000000000000E+01  0.211393896501221E+00  0.143285528699729E-01  0.470887155734460E+01  0.319173430189051E+00
     0.220000000000000E+01  0.211201074627602E+00  0.144075979872645E-01  0.471289238290315E+01  0.321501483502563E+00
     0.221000000000000E+01  0.211007109409847E+00  0.144869134014914E-01  0.471694278300372E+01  0.323846631557977E+00
     0.222000000000000E+01  0.210811995676243E+00  0.145664941577555E-01  0.472102299704249E+01  0.326208922241128E+00
     0.223000000000000E+01  0.210615727526179E+00  0.146463353602201E-01  0.472513328261439E+01  0.328588408338622E+00
     0.224000000000000E+01  0.210418298340186E+00  0.147264321963823E-01  0.472927391537354E+01  0.330985148165542E+00
     0.225000000000000E+01  0.210219700786561E+00  0.148067799586676E-01  0.473344518897602E+01  0.333399206151197E+00
     0.226000000000000E+01  0.210019926824151E+00  0.148873740644090E-01  0.473764741511185E+01  0.335830653407978E+00
     0.227000000000000E+01  0.209818967701029E+00  0.149682100753431E-01  0.474188092363043E+01  0.338279568310041E+00
     0.228000000000000E+01  0.209616813948920E+00  0.150492837177977E-01  0.474614606275936E+01  0.340746037109311E+00
     0.229000000000000E+01  0.209413455373677E+00  0.151305909047486E-01  0.475044319940763E+01  0.343230154615540E+00
     0.230000000000000E+01  0.209208881042064E+00  0.152121277608890E-01  0.475477271954420E+01  0.345732024966727E+00
     0.231000000000000E+01  0.209003079265511E+00  0.152938906517877E-01  0.475913502863381E+01  0.348251762513764E+00
     0.232000000000000E+01  0.208796037581632E+00  0.153758762181031E-01  0.476353055210934E+01  0.350789492840591E+00
     0.233000000000000E+01  0.208587742734477E+00  0.154580814156857E-01  0.476795973585552E+01  0.353345353937632E+00
     0.234000000000000E+01  0.208378180654686E+00  0.155405035622264E-01  0.477242304667478E+01  0.355919497541850E+00
     0.235000000000000E+01  0.208167336440776E+00  0.156231403909139E-01  0.477692097270415E+01  0.358512090652081E+00
     0.236000000000000E+01  0.207955194343016E+00  0.157059901113405E-01  0.478145402374809E+01  0.361123317222583E+00
     0.237000000000000E+01  0.207741737751301E+00  0.157890514776593E-01  0.478602273149260E+01  0.363753380032132E+00
